year,area,age_group,professional_type,modality,n_consultations
2021,Altiplano,40-44,Pediatrician,In-person,0
2021,Altiplano,40-44,Pediatrician,Remote,0
2021,Altiplano,45-49,GP,Home,9
2021,Altiplano,45-49,GP,Home,0
2021,Altiplano,45-49,GP,In-person,6729
2021,Altiplano,45-49,GP,In-person,8624
2021,Altiplano,45-49,GP,Remote,4468
2021,Altiplano,45-49,GP,Remote,7658
2021,Altiplano,45-49,Nurse,Home,79
2021,Altiplano,45-49,Nurse,Home,47
2021,Altiplano,45-49,Nurse,In-person,2897
2021,Altiplano,45-49,Nurse,In-person,3125
2021,Altiplano,45-49,Nurse,Remote,405
2021,Altiplano,45-49,Nurse,Remote,451
2021,Altiplano,45-49,Pediatrician,Home,0
2021,Altiplano,45-49,Pediatrician,In-person,0
2021,Altiplano,45-49,Pediatrician,Remote,0
2021,Altiplano,5-9,GP,Home,0
2021,Altiplano,5-9,GP,Home,0
2021,Altiplano,5-9,GP,In-person,576
2021,Altiplano,5-9,GP,In-person,569
2021,Altiplano,5-9,GP,Remote,528
2021,Altiplano,5-9,GP,Remote,560
2021,Altiplano,5-9,Nurse,Home,4
2021,Altiplano,5-9,Nurse,Home,0
2021,Altiplano,5-9,Nurse,In-person,1618
2021,Altiplano,5-9,Nurse,In-person,1518
2021,Altiplano,5-9,Nurse,Remote,418
2021,Altiplano,5-9,Nurse,Remote,333
2021,Altiplano,5-9,Pediatrician,Home,0
2021,Altiplano,5-9,Pediatrician,Home,0
2021,Altiplano,5-9,Pediatrician,In-person,4102
2021,Altiplano,5-9,Pediatrician,In-person,3485
2021,Altiplano,5-9,Pediatrician,Remote,3625
2021,Altiplano,5-9,Pediatrician,Remote,3277
2021,Altiplano,50-54,GP,Home,4
2021,Altiplano,50-54,GP,Home,5
2021,Altiplano,50-54,GP,In-person,6150
2021,Altiplano,50-54,GP,In-person,7979
2021,Altiplano,50-54,GP,Remote,4354
2021,Altiplano,50-54,GP,Remote,6322
2021,Altiplano,50-54,Nurse,Home,82
2021,Altiplano,50-54,Nurse,Home,81
2021,Altiplano,50-54,Nurse,In-person,2676
2021,Altiplano,50-54,Nurse,In-person,2771
2021,Altiplano,50-54,Nurse,Remote,401
2021,Altiplano,50-54,Nurse,Remote,396
2021,Altiplano,50-54,Pediatrician,Home,0
2021,Altiplano,50-54,Pediatrician,In-person,0
2021,Altiplano,50-54,Pediatrician,Remote,0
2021,Altiplano,55-59,GP,Home,4
2021,Altiplano,55-59,GP,Home,5
2021,Altiplano,55-59,GP,In-person,6545
2021,Altiplano,55-59,GP,In-person,8610
2021,Altiplano,55-59,GP,Remote,4324
2021,Altiplano,55-59,GP,Remote,6085
2021,Altiplano,55-59,Nurse,Home,133
2021,Altiplano,55-59,Nurse,Home,135
2021,Altiplano,55-59,Nurse,In-person,3277
2021,Altiplano,55-59,Nurse,In-person,3412
2021,Altiplano,55-59,Nurse,Remote,381
2021,Altiplano,55-59,Nurse,Remote,390
2021,Altiplano,55-59,Pediatrician,Home,0
2021,Altiplano,55-59,Pediatrician,In-person,0
2021,Altiplano,55-59,Pediatrician,Remote,0
2021,Altiplano,60-64,GP,Home,8
2021,Altiplano,60-64,GP,Home,12
2021,Altiplano,60-64,GP,In-person,7429
2021,Altiplano,60-64,GP,In-person,8615
2021,Altiplano,60-64,GP,Remote,4136
2021,Altiplano,60-64,GP,Remote,5459
2021,Altiplano,60-64,Nurse,Home,204
2021,Altiplano,60-64,Nurse,Home,265
2021,Altiplano,60-64,Nurse,In-person,4038
2021,Altiplano,60-64,Nurse,In-person,3905
2021,Altiplano,60-64,Nurse,Remote,408
2021,Altiplano,60-64,Nurse,Remote,387
2021,Altiplano,60-64,Pediatrician,Home,0
2021,Altiplano,60-64,Pediatrician,In-person,0
2021,Altiplano,60-64,Pediatrician,Remote,0
2021,Altiplano,65-69,GP,Home,8
2021,Altiplano,65-69,GP,Home,10
2021,Altiplano,65-69,GP,In-person,5646
2021,Altiplano,65-69,GP,In-person,7164
2021,Altiplano,65-69,GP,Remote,3081
2021,Altiplano,65-69,GP,Remote,4064
2021,Altiplano,65-69,Nurse,Home,292
2021,Altiplano,65-69,Nurse,Home,180
2021,Altiplano,65-69,Nurse,In-person,4092
2021,Altiplano,65-69,Nurse,In-person,4327
2021,Altiplano,65-69,Nurse,Remote,355
2021,Altiplano,65-69,Nurse,Remote,420
2021,Altiplano,65-69,Pediatrician,Home,0
2021,Altiplano,65-69,Pediatrician,In-person,0
2021,Altiplano,65-69,Pediatrician,Remote,0
2021,Altiplano,70-74,GP,Home,12
2021,Altiplano,70-74,GP,Home,14
2021,Altiplano,70-74,GP,In-person,5604
2021,Altiplano,70-74,GP,In-person,7549
2021,Altiplano,70-74,GP,Remote,2783
2021,Altiplano,70-74,GP,Remote,3980
2021,Altiplano,70-74,Nurse,Home,369
2021,Altiplano,70-74,Nurse,Home,659
2021,Altiplano,70-74,Nurse,In-person,5079
2021,Altiplano,70-74,Nurse,In-person,5240
2021,Altiplano,70-74,Nurse,Remote,474
2021,Altiplano,70-74,Nurse,Remote,507
2021,Altiplano,70-74,Pediatrician,Home,0
2021,Altiplano,70-74,Pediatrician,In-person,0
2021,Altiplano,70-74,Pediatrician,Remote,0
2021,Altiplano,75-79,GP,Home,22
2021,Altiplano,75-79,GP,Home,20
2021,Altiplano,75-79,GP,In-person,4547
2021,Altiplano,75-79,GP,In-person,6024
2021,Altiplano,75-79,GP,Remote,2114
2021,Altiplano,75-79,GP,Remote,3402
2021,Altiplano,75-79,Nurse,Home,694
2021,Altiplano,75-79,Nurse,Home,720
2021,Altiplano,75-79,Nurse,In-person,3910
2021,Altiplano,75-79,Nurse,In-person,4194
2021,Altiplano,75-79,Nurse,Remote,404
2021,Altiplano,75-79,Nurse,Remote,522
2021,Altiplano,75-79,Pediatrician,Home,0
2021,Altiplano,75-79,Pediatrician,In-person,0
2021,Altiplano,75-79,Pediatrician,Remote,0
2021,Altiplano,80-84,GP,Home,26
2021,Altiplano,80-84,GP,Home,65
2021,Altiplano,80-84,GP,In-person,3278
2021,Altiplano,80-84,GP,In-person,4169
2021,Altiplano,80-84,GP,Remote,1842
2021,Altiplano,80-84,GP,Remote,3039
2021,Altiplano,80-84,Nurse,Home,800
2021,Altiplano,80-84,Nurse,Home,1785
2021,Altiplano,80-84,Nurse,In-person,2984
2021,Altiplano,80-84,Nurse,In-person,2794
2021,Altiplano,80-84,Nurse,Remote,306
2021,Altiplano,80-84,Nurse,Remote,458
2021,Altiplano,80-84,Pediatrician,Home,0
2021,Altiplano,80-84,Pediatrician,In-person,0
2021,Altiplano,80-84,Pediatrician,Remote,0
2021,Altiplano,85-89,GP,Home,58
2021,Altiplano,85-89,GP,Home,87
2021,Altiplano,85-89,GP,In-person,2630
2021,Altiplano,85-89,GP,In-person,3600
2021,Altiplano,85-89,GP,Remote,1767
2021,Altiplano,85-89,GP,Remote,3169
2021,Altiplano,85-89,Nurse,Home,1209
2021,Altiplano,85-89,Nurse,Home,2354
2021,Altiplano,85-89,Nurse,In-person,1982
2021,Altiplano,85-89,Nurse,In-person,2044
2021,Altiplano,85-89,Nurse,Remote,394
2021,Altiplano,85-89,Nurse,Remote,663
2021,Altiplano,85-89,Pediatrician,Home,0
2021,Altiplano,85-89,Pediatrician,In-person,0
2021,Altiplano,85-89,Pediatrician,Remote,0
2021,Altiplano,90-94,GP,Home,42
2021,Altiplano,90-94,GP,Home,90
2021,Altiplano,90-94,GP,In-person,1287
2021,Altiplano,90-94,GP,In-person,2047
2021,Altiplano,90-94,GP,Remote,943
2021,Altiplano,90-94,GP,Remote,2015
2021,Altiplano,90-94,Nurse,Home,1191
2021,Altiplano,90-94,Nurse,Home,2422
2021,Altiplano,90-94,Nurse,In-person,969
2021,Altiplano,90-94,Nurse,In-person,1154
2021,Altiplano,90-94,Nurse,Remote,214
2021,Altiplano,90-94,Nurse,Remote,495
2021,Altiplano,90-94,Pediatrician,Home,0
2021,Altiplano,90-94,Pediatrician,In-person,0
2021,Altiplano,90-94,Pediatrician,Remote,0
2021,Altiplano,95+,GP,Home,17
2021,Altiplano,95+,GP,Home,78
2021,Altiplano,95+,GP,In-person,403
2021,Altiplano,95+,GP,In-person,602
2021,Altiplano,95+,GP,Remote,312
2021,Altiplano,95+,GP,Remote,628
2021,Altiplano,95+,Nurse,Home,570
2021,Altiplano,95+,Nurse,Home,1151
2021,Altiplano,95+,Nurse,In-person,151
2021,Altiplano,95+,Nurse,In-person,332
2021,Altiplano,95+,Nurse,Remote,77
2021,Altiplano,95+,Nurse,Remote,204
2021,Altiplano,95+,Pediatrician,Home,0
2021,Altiplano,95+,Pediatrician,In-person,0
2021,Altiplano,95+,Pediatrician,Remote,0
2021,Cartagena,0-4,GP,Home,0
2021,Cartagena,0-4,GP,Home,0
2021,Cartagena,0-4,GP,In-person,1233
2021,Cartagena,0-4,GP,In-person,1196
2021,Cartagena,0-4,GP,Remote,1584
2021,Cartagena,0-4,GP,Remote,1425
2021,Cartagena,0-4,Nurse,Home,4
2021,Cartagena,0-4,Nurse,Home,3
2021,Cartagena,0-4,Nurse,In-person,16652
2021,Cartagena,0-4,Nurse,In-person,15473
2021,Cartagena,0-4,Nurse,Remote,5179
2021,Cartagena,0-4,Nurse,Remote,4570
2021,Cartagena,0-4,Pediatrician,Home,0
2021,Cartagena,0-4,Pediatrician,Home,0
2021,Cartagena,0-4,Pediatrician,In-person,39015
2021,Cartagena,0-4,Pediatrician,In-person,35574
2021,Cartagena,0-4,Pediatrician,Remote,22687
2021,Cartagena,0-4,Pediatrician,Remote,21029
2021,Cartagena,10-14,GP,Home,1
2021,Cartagena,10-14,GP,Home,1
2021,Cartagena,10-14,GP,In-person,4236
2021,Cartagena,10-14,GP,In-person,3496
2021,Cartagena,10-14,GP,Remote,3296
2021,Cartagena,10-14,GP,Remote,3247
2021,Cartagena,10-14,Nurse,Home,1130
2021,Cartagena,10-14,Nurse,Home,1439
2021,Cartagena,10-14,Nurse,In-person,10378
2021,Cartagena,10-14,Nurse,In-person,9963
2021,Cartagena,10-14,Nurse,Remote,4668
2021,Cartagena,10-14,Nurse,Remote,4444
2021,Cartagena,10-14,Pediatrician,Home,0
2021,Cartagena,10-14,Pediatrician,Home,0
2021,Cartagena,10-14,Pediatrician,In-person,18679
2021,Cartagena,10-14,Pediatrician,In-person,18004
2021,Cartagena,10-14,Pediatrician,Remote,13189
2021,Cartagena,10-14,Pediatrician,Remote,12876
2021,Cartagena,15-19,GP,Home,2
2021,Cartagena,15-19,GP,Home,2
2021,Cartagena,15-19,GP,In-person,17799
2021,Cartagena,15-19,GP,In-person,22505
2021,Cartagena,15-19,GP,Remote,12740
2021,Cartagena,15-19,GP,Remote,16594
2021,Cartagena,15-19,Nurse,Home,83
2021,Cartagena,15-19,Nurse,Home,110
2021,Cartagena,15-19,Nurse,In-person,10196
2021,Cartagena,15-19,Nurse,In-person,9523
2021,Cartagena,15-19,Nurse,Remote,5821
2021,Cartagena,15-19,Nurse,Remote,5326
2021,Cartagena,15-19,Pediatrician,Home,0
2021,Cartagena,15-19,Pediatrician,In-person,0
2021,Cartagena,15-19,Pediatrician,Remote,0
2021,Cartagena,20-24,GP,Home,1
2021,Cartagena,20-24,GP,Home,0
2021,Cartagena,20-24,GP,In-person,16761
2021,Cartagena,20-24,GP,In-person,24079
2021,Cartagena,20-24,GP,Remote,13243
2021,Cartagena,20-24,GP,Remote,22419
2021,Cartagena,20-24,Nurse,Home,86
2021,Cartagena,20-24,Nurse,Home,21
2021,Cartagena,20-24,Nurse,In-person,6828
2021,Cartagena,20-24,Nurse,In-person,7813
2021,Cartagena,20-24,Nurse,Remote,4728
2021,Cartagena,20-24,Nurse,Remote,4806
2021,Cartagena,20-24,Pediatrician,Home,0
2021,Cartagena,20-24,Pediatrician,In-person,0
2021,Cartagena,20-24,Pediatrician,Remote,0
2021,Cartagena,25-29,GP,Home,3
2021,Cartagena,25-29,GP,Home,3
2021,Cartagena,25-29,GP,In-person,17293
2021,Cartagena,25-29,GP,In-person,26295
2021,Cartagena,25-29,GP,Remote,13952
2021,Cartagena,25-29,GP,Remote,25680
2021,Cartagena,25-29,Nurse,Home,30
2021,Cartagena,25-29,Nurse,Home,39
2021,Cartagena,25-29,Nurse,In-person,5773
2021,Cartagena,25-29,Nurse,In-person,8152
2021,Cartagena,25-29,Nurse,Remote,4024
2021,Cartagena,25-29,Nurse,Remote,4062
2021,Cartagena,25-29,Pediatrician,Home,0
2021,Cartagena,25-29,Pediatrician,In-person,0
2021,Cartagena,25-29,Pediatrician,Remote,0
2021,Cartagena,30-34,GP,Home,7
2021,Cartagena,30-34,GP,Home,4
2021,Cartagena,30-34,GP,In-person,18651
2021,Cartagena,30-34,GP,In-person,32009
2021,Cartagena,30-34,GP,Remote,15355
2021,Cartagena,30-34,GP,Remote,31636
2021,Cartagena,30-34,Nurse,Home,39
2021,Cartagena,30-34,Nurse,Home,36
2021,Cartagena,30-34,Nurse,In-person,6639
2021,Cartagena,30-34,Nurse,In-person,10154
2021,Cartagena,30-34,Nurse,Remote,3765
2021,Cartagena,30-34,Nurse,Remote,4540
2021,Cartagena,30-34,Pediatrician,Home,0
2021,Cartagena,30-34,Pediatrician,In-person,0
2021,Cartagena,30-34,Pediatrician,Remote,0
2021,Cartagena,35-39,GP,Home,6
2021,Cartagena,35-39,GP,Home,2
2021,Cartagena,35-39,GP,In-person,22000
2021,Cartagena,35-39,GP,In-person,36587
2021,Cartagena,35-39,GP,Remote,17410
2021,Cartagena,35-39,GP,Remote,33408
2021,Cartagena,35-39,Nurse,Home,62
2021,Cartagena,35-39,Nurse,Home,85
2021,Cartagena,35-39,Nurse,In-person,7893
2021,Cartagena,35-39,Nurse,In-person,11540
2021,Cartagena,35-39,Nurse,Remote,4016
2021,Cartagena,35-39,Nurse,Remote,4749
2021,Cartagena,35-39,Pediatrician,Home,0
2021,Cartagena,35-39,Pediatrician,In-person,0
2021,Cartagena,35-39,Pediatrician,Remote,0
2021,Cartagena,40-44,GP,Home,6
2021,Cartagena,40-44,GP,Home,11
2021,Cartagena,40-44,GP,In-person,29162
2021,Cartagena,40-44,GP,In-person,43466
2021,Cartagena,40-44,GP,Remote,22246
2021,Cartagena,40-44,GP,Remote,37446
2021,Cartagena,40-44,Nurse,Home,156
2021,Cartagena,40-44,Nurse,Home,184
2021,Cartagena,40-44,Nurse,In-person,10288
2021,Cartagena,40-44,Nurse,In-person,13854
2021,Cartagena,40-44,Nurse,Remote,4468
2021,Cartagena,40-44,Nurse,Remote,5506
2021,Cartagena,40-44,Pediatrician,Home,0
2021,Cartagena,40-44,Pediatrician,In-person,0
2021,Cartagena,40-44,Pediatrician,Remote,0
2021,Cartagena,45-49,GP,Home,1
2021,Cartagena,45-49,GP,Home,11
2021,Cartagena,45-49,GP,In-person,33500
2021,Cartagena,45-49,GP,In-person,44536
2021,Cartagena,45-49,GP,Remote,23648
2021,Cartagena,45-49,GP,Remote,36066
2021,Cartagena,45-49,Nurse,Home,184
2021,Cartagena,45-49,Nurse,Home,151
2021,Cartagena,45-49,Nurse,In-person,12423
2021,Cartagena,45-49,Nurse,In-person,14274
2021,Cartagena,45-49,Nurse,Remote,4690
2021,Cartagena,45-49,Nurse,Remote,5393
2021,Cartagena,45-49,Pediatrician,Home,0
2021,Cartagena,45-49,Pediatrician,In-person,0
2021,Cartagena,45-49,Pediatrician,Remote,0
2021,Cartagena,5-9,GP,Home,0
2021,Cartagena,5-9,GP,Home,0
2021,Cartagena,5-9,GP,In-person,839
2021,Cartagena,5-9,GP,In-person,667
2021,Cartagena,5-9,GP,Remote,1564
2021,Cartagena,5-9,GP,Remote,1425
2021,Cartagena,5-9,Nurse,Home,36
2021,Cartagena,5-9,Nurse,Home,2
2021,Cartagena,5-9,Nurse,In-person,6673
2021,Cartagena,5-9,Nurse,In-person,6366
2021,Cartagena,5-9,Nurse,Remote,4807
2021,Cartagena,5-9,Nurse,Remote,4815
2021,Cartagena,5-9,Pediatrician,Home,0
2021,Cartagena,5-9,Pediatrician,Home,1
2021,Cartagena,5-9,Pediatrician,In-person,22323
2021,Cartagena,5-9,Pediatrician,In-person,21186
2021,Cartagena,5-9,Pediatrician,Remote,15487
2021,Cartagena,5-9,Pediatrician,Remote,14791
2021,Cartagena,50-54,GP,Home,11
2021,Cartagena,50-54,GP,Home,4
2021,Cartagena,50-54,GP,In-person,33089
2021,Cartagena,50-54,GP,In-person,47102
2021,Cartagena,50-54,GP,Remote,22591
2021,Cartagena,50-54,GP,Remote,35072
2021,Cartagena,50-54,Nurse,Home,573
2021,Cartagena,50-54,Nurse,Home,203
2021,Cartagena,50-54,Nurse,In-person,13435
2021,Cartagena,50-54,Nurse,In-person,15586
2021,Cartagena,50-54,Nurse,Remote,4218
2021,Cartagena,50-54,Nurse,Remote,5005
2021,Cartagena,50-54,Pediatrician,Home,0
2021,Cartagena,50-54,Pediatrician,In-person,0
2021,Cartagena,50-54,Pediatrician,Remote,0
2021,Cartagena,55-59,GP,Home,8
2021,Cartagena,55-59,GP,Home,17
2021,Cartagena,55-59,GP,In-person,35334
2021,Cartagena,55-59,GP,In-person,46845
2021,Cartagena,55-59,GP,Remote,23000
2021,Cartagena,55-59,GP,Remote,31692
2021,Cartagena,55-59,Nurse,Home,420
2021,Cartagena,55-59,Nurse,Home,320
2021,Cartagena,55-59,Nurse,In-person,16615
2021,Cartagena,55-59,Nurse,In-person,16580
2021,Cartagena,55-59,Nurse,Remote,4006
2021,Cartagena,55-59,Nurse,Remote,4717
2021,Cartagena,55-59,Pediatrician,Home,0
2021,Cartagena,55-59,Pediatrician,In-person,0
2021,Cartagena,55-59,Pediatrician,Remote,0
2021,Cartagena,60-64,GP,Home,38
2021,Cartagena,60-64,GP,Home,67
2021,Cartagena,60-64,GP,In-person,31627
2021,Cartagena,60-64,GP,In-person,43557
2021,Cartagena,60-64,GP,Remote,19462
2021,Cartagena,60-64,GP,Remote,27155
2021,Cartagena,60-64,Nurse,Home,815
2021,Cartagena,60-64,Nurse,Home,668
2021,Cartagena,60-64,Nurse,In-person,17910
2021,Cartagena,60-64,Nurse,In-person,19043
2021,Cartagena,60-64,Nurse,Remote,3295
2021,Cartagena,60-64,Nurse,Remote,4088
2021,Cartagena,60-64,Pediatrician,Home,0
2021,Cartagena,60-64,Pediatrician,In-person,0
2021,Cartagena,60-64,Pediatrician,Remote,0
2021,Cartagena,65-69,GP,Home,23
2021,Cartagena,65-69,GP,Home,33
2021,Cartagena,65-69,GP,In-person,29100
2021,Cartagena,65-69,GP,In-person,38516
2021,Cartagena,65-69,GP,Remote,15738
2021,Cartagena,65-69,GP,Remote,20931
2021,Cartagena,65-69,Nurse,Home,767
2021,Cartagena,65-69,Nurse,Home,819
2021,Cartagena,65-69,Nurse,In-person,21182
2021,Cartagena,65-69,Nurse,In-person,20404
2021,Cartagena,65-69,Nurse,Remote,2785
2021,Cartagena,65-69,Nurse,Remote,2880
2021,Cartagena,65-69,Pediatrician,Home,0
2021,Cartagena,65-69,Pediatrician,In-person,0
2021,Cartagena,65-69,Pediatrician,Remote,0
2021,Cartagena,70-74,GP,Home,38
2021,Cartagena,70-74,GP,Home,42
2021,Cartagena,70-74,GP,In-person,26131
2021,Cartagena,70-74,GP,In-person,35306
2021,Cartagena,70-74,GP,Remote,12867
2021,Cartagena,70-74,GP,Remote,18029
2021,Cartagena,70-74,Nurse,Home,1148
2021,Cartagena,70-74,Nurse,Home,1711
2021,Cartagena,70-74,Nurse,In-person,19707
2021,Cartagena,70-74,Nurse,In-person,20073
2021,Cartagena,70-74,Nurse,Remote,2113
2021,Cartagena,70-74,Nurse,Remote,2448
2021,Cartagena,70-74,Pediatrician,Home,0
2021,Cartagena,70-74,Pediatrician,In-person,0
2021,Cartagena,70-74,Pediatrician,Remote,0
2021,Cartagena,75-79,GP,Home,94
2021,Cartagena,75-79,GP,Home,107
2021,Cartagena,75-79,GP,In-person,23812
2021,Cartagena,75-79,GP,In-person,34779
2021,Cartagena,75-79,GP,Remote,11371
2021,Cartagena,75-79,GP,Remote,17876
2021,Cartagena,75-79,Nurse,Home,2061
2021,Cartagena,75-79,Nurse,Home,3614
2021,Cartagena,75-79,Nurse,In-person,19193
2021,Cartagena,75-79,Nurse,In-person,22078
2021,Cartagena,75-79,Nurse,Remote,1830
2021,Cartagena,75-79,Nurse,Remote,2411
2021,Cartagena,75-79,Pediatrician,Home,0
2021,Cartagena,75-79,Pediatrician,In-person,0
2021,Cartagena,75-79,Pediatrician,Remote,0
2021,Cartagena,80-84,GP,Home,170
2021,Cartagena,80-84,GP,Home,187
2021,Cartagena,80-84,GP,In-person,17216
2021,Cartagena,80-84,GP,In-person,25040
2021,Cartagena,80-84,GP,Remote,8846
2021,Cartagena,80-84,GP,Remote,15097
2021,Cartagena,80-84,Nurse,Home,3286
2021,Cartagena,80-84,Nurse,Home,5366
2021,Cartagena,80-84,Nurse,In-person,14990
2021,Cartagena,80-84,Nurse,In-person,16430
2021,Cartagena,80-84,Nurse,Remote,1364
2021,Cartagena,80-84,Nurse,Remote,2025
2021,Cartagena,80-84,Pediatrician,Home,0
2021,Cartagena,80-84,Pediatrician,In-person,0
2021,Cartagena,80-84,Pediatrician,Remote,0
2021,Cartagena,85-89,GP,Home,197
2021,Cartagena,85-89,GP,Home,436
2021,Cartagena,85-89,GP,In-person,13831
2021,Cartagena,85-89,GP,In-person,20192
2021,Cartagena,85-89,GP,Remote,7603
2021,Cartagena,85-89,GP,Remote,14857
2021,Cartagena,85-89,Nurse,Home,4411
2021,Cartagena,85-89,Nurse,Home,8753
2021,Cartagena,85-89,Nurse,In-person,10201
2021,Cartagena,85-89,Nurse,In-person,13401
2021,Cartagena,85-89,Nurse,Remote,1233
2021,Cartagena,85-89,Nurse,Remote,2089
2021,Cartagena,85-89,Pediatrician,Home,0
