resource,time,server,queue,capacity,queue_size,system,limit,replication
96_GP,0.9322801697999239,2,0,9,Inf,2,Inf,1
112_GP,0.9384573949500918,2,0,8,Inf,2,Inf,1
172_GP,0.9399211965501308,1,0,1,Inf,1,Inf,1
279_Nurse,0.9492381289601326,1,0,2,Inf,1,Inf,1
187_Pediatrician,0.9502652054652572,1,0,1,Inf,1,Inf,1
257_GP,0.9803086845204234,1,0,2,Inf,1,Inf,1
40_GP,1.0285610379651189,3,0,6,Inf,3,Inf,1
40_GP,1.0388174280524254,4,0,6,Inf,4,Inf,1
82_Pediatrician,1.0401378711685538,1,0,1,Inf,1,Inf,1
22_GP,1.0411003092303872,3,0,11,Inf,3,Inf,1
33_GP,1.0681785363703966,3,0,11,Inf,3,Inf,1
38_GP,1.0750141739845276,1,0,6,Inf,1,Inf,1
274_GP,1.0774899926036596,2,0,7,Inf,2,Inf,1
151_GP,1.0777909867465496,1,0,7,Inf,1,Inf,1
4_Nurse,1.0783881833776832,1,0,10,Inf,1,Inf,1
164_GP,1.1166652897372842,2,0,2,Inf,2,Inf,1
15_Pediatrician,1.1167249409481883,1,0,1,Inf,1,Inf,1
21_GP,1.117401933297515,2,0,6,Inf,2,Inf,1
16_Pediatrician,1.1202039755880833,1,0,2,Inf,1,Inf,1
9_Pediatrician,1.12852874211967,2,0,2,Inf,2,Inf,1
151_GP,1.13499297760427,2,0,7,Inf,2,Inf,1
265_GP,1.1513240123167634,2,0,8,Inf,2,Inf,1
273_Nurse,1.1578320572152734,1,0,9,Inf,1,Inf,1
19_GP,1.17477769497782,1,0,7,Inf,1,Inf,1
139_GP,1.1782329669222236,1,0,9,Inf,1,Inf,1
32_GP,1.185121899470687,3,0,7,Inf,3,Inf,1
110_GP,1.201980309560895,1,0,1,Inf,1,Inf,1
201_GP,1.220924947410822,1,0,2,Inf,1,Inf,1
20_Nurse,1.2225419841706753,1,0,14,Inf,1,Inf,1
33_GP,1.2371764797717333,4,0,11,Inf,4,Inf,1
119_GP,1.237785997800529,1,0,1,Inf,1,Inf,1
33_Nurse,1.2744078319519758,2,0,17,Inf,2,Inf,1
219_GP,1.2768584210425615,1,0,1,Inf,1,Inf,1
174_GP,1.2839008821174502,5,0,11,Inf,5,Inf,1
157_Nurse,1.3033391581848264,1,0,9,Inf,1,Inf,1
269_GP,1.3159183273091912,1,0,3,Inf,1,Inf,1
2_GP,1.3733435701578856,2,0,8,Inf,2,Inf,1
30_GP,1.3750535063445568,1,0,10,Inf,1,Inf,1
244_GP,1.396262445487082,2,0,11,Inf,2,Inf,1
230_Nurse,1.435955143533647,1,0,3,Inf,1,Inf,1
66_GP,1.4500093599781394,2,0,3,Inf,2,Inf,1
16_GP,1.4568543853238225,1,0,12,Inf,1,Inf,1
221_GP,1.4686932926997542,2,0,3,Inf,2,Inf,1
154_GP,1.4766996586695313,1,0,3,Inf,1,Inf,1
152_Pediatrician,1.4849077630788088,1,0,1,Inf,1,Inf,1
170_GP,1.4879436185583472,3,0,8,Inf,3,Inf,1
159_GP,1.490341010503471,3,0,12,Inf,3,Inf,1
8_GP,1.5245427656918764,2,0,6,Inf,2,Inf,1
41_GP,1.54471377376467,1,0,8,Inf,1,Inf,1
22_GP,1.5473755868151784,4,0,11,Inf,4,Inf,1
250_GP,1.548666008748114,1,0,8,Inf,1,Inf,1
111_Nurse,1.5545634599402547,1,0,6,Inf,1,Inf,1
112_Nurse,1.596578056924045,1,0,11,Inf,1,Inf,1
174_GP,1.6017784690484405,6,0,11,Inf,6,Inf,1
162_Pediatrician,1.6025865962728858,1,0,3,Inf,1,Inf,1
15_Pediatrician,1.6128146275877953,1,1,1,Inf,2,Inf,1
90_GP,1.6249058302491903,1,0,1,Inf,1,Inf,1
265_GP,1.6271014837548137,3,0,8,Inf,3,Inf,1
94_GP,1.631205682642758,1,0,2,Inf,1,Inf,1
226_GP,1.6338883247226477,1,0,6,Inf,1,Inf,1
250_GP,1.6363553423434496,2,0,8,Inf,2,Inf,1
72_GP,1.6364640835672617,1,0,1,Inf,1,Inf,1
97_GP,1.6425670869648457,1,0,1,Inf,1,Inf,1
199_GP,1.645436310209334,1,0,2,Inf,1,Inf,1
23_GP,1.6601720172911882,1,0,6,Inf,1,Inf,1
138_GP,1.663839784450829,1,0,1,Inf,1,Inf,1
33_GP,1.6743432870134711,5,0,11,Inf,5,Inf,1
22_GP,1.7249149968847632,5,0,11,Inf,5,Inf,1
10_Nurse,1.7265202011913061,1,0,9,Inf,1,Inf,1
184_Nurse,1.7286179680377245,1,0,4,Inf,1,Inf,1
273_GP,1.7309924773871899,1,0,5,Inf,1,Inf,1
145_Nurse,1.73383011482656,1,0,4,Inf,1,Inf,1
208_GP,1.7505171010270715,3,0,3,Inf,3,Inf,1
95_Pediatrician,1.7517535435035825,1,0,1,Inf,1,Inf,1
19_Nurse,1.7644105525687337,1,0,13,Inf,1,Inf,1
35_GP,1.7725127516314387,2,0,8,Inf,2,Inf,1
184_GP,1.776334927417338,1,0,2,Inf,1,Inf,1
30_GP,1.7789210518822074,2,0,10,Inf,2,Inf,1
155_Pediatrician,1.7799004074186087,1,0,1,Inf,1,Inf,1
118_Nurse,1.7857138579711318,1,0,2,Inf,1,Inf,1
273_Pediatrician,1.7889212351292372,1,0,1,Inf,1,Inf,1
2_GP,1.7903057299554348,3,0,8,Inf,3,Inf,1
174_GP,1.7919850582256913,7,0,11,Inf,7,Inf,1
99_GP,1.7966440133750439,2,0,9,Inf,2,Inf,1
273_GP,1.7986348969861865,2,0,5,Inf,2,Inf,1
244_Pediatrician,1.8149429513141513,2,0,4,Inf,2,Inf,1
186_Nurse,1.8240834726020694,1,0,2,Inf,1,Inf,1
236_GP,1.8333878880366683,3,0,9,Inf,3,Inf,1
55_GP,1.857439843006432,1,0,2,Inf,1,Inf,1
36_GP,1.8688911153003573,1,0,5,Inf,1,Inf,1
197_GP,1.8857283052057028,1,0,1,Inf,1,Inf,1
99_GP,1.9040287099778652,3,0,9,Inf,3,Inf,1
142_Nurse,1.9214470591396093,1,0,12,Inf,1,Inf,1
105_GP,1.9347830163314939,1,0,1,Inf,1,Inf,1
269_Nurse,1.9357691192999482,1,0,4,Inf,1,Inf,1
33_GP,1.9396282592788339,6,0,11,Inf,6,Inf,1
14_GP,1.941712824627757,2,0,6,Inf,2,Inf,1
41_GP,1.948023336008191,2,0,8,Inf,2,Inf,1
157_GP,1.9504753919318318,3,0,6,Inf,3,Inf,1
141_Nurse,1.9603990064933896,1,0,2,Inf,1,Inf,1
170_GP,1.9643733417615294,4,0,8,Inf,4,Inf,1
111_Pediatrician,1.976626287214458,1,0,1,Inf,1,Inf,1
30_GP,1.981365722604096,3,0,10,Inf,3,Inf,1
4_GP,2.0016357908025384,1,0,9,Inf,1,Inf,1
29_GP,2.0058374851942062,2,0,4,Inf,2,Inf,1
142_GP,2.0089424774050713,2,0,9,Inf,2,Inf,1
152_GP,2.0205454202368855,1,0,1,Inf,1,Inf,1
42_GP,2.0335306087508798,2,0,6,Inf,2,Inf,1
162_Nurse,2.0400513662025332,3,0,16,Inf,3,Inf,1
170_GP,2.0455789798870683,5,0,8,Inf,5,Inf,1
226_GP,2.069576857611537,2,0,6,Inf,2,Inf,1
117_Nurse,2.0751001685857773,1,0,5,Inf,1,Inf,1
157_GP,2.0831340132281184,4,0,6,Inf,4,Inf,1
134_GP,2.0962950261309743,3,0,6,Inf,3,Inf,1
35_GP,2.1102589834481478,3,0,8,Inf,3,Inf,1
14_Nurse,2.1167776873335242,1,0,8,Inf,1,Inf,1
158_GP,2.135953987017274,1,0,2,Inf,1,Inf,1
17_GP,2.1416568383574486,1,0,7,Inf,1,Inf,1
162_GP,2.14268010109663,2,0,13,Inf,2,Inf,1
162_Nurse,2.1601620130240917,4,0,16,Inf,4,Inf,1
30_GP,2.168161435984075,4,0,10,Inf,4,Inf,1
139_GP,2.179943723604083,2,0,9,Inf,2,Inf,1
112_Pediatrician,2.1874062856659293,1,0,2,Inf,1,Inf,1
258_Nurse,2.199654928408563,1,0,5,Inf,1,Inf,1
19_GP,2.214395231567323,2,0,7,Inf,2,Inf,1
38_Pediatrician,2.2351646097376943,1,0,3,Inf,1,Inf,1
19_Nurse,2.242418099194765,2,0,13,Inf,2,Inf,1
45_GP,2.251381720416248,2,0,3,Inf,2,Inf,1
41_Nurse,2.253067893907428,1,0,9,Inf,1,Inf,1
151_Pediatrician,2.2664500074461102,1,0,2,Inf,1,Inf,1
95_GP,2.268450278788805,2,0,8,Inf,2,Inf,1
65_Pediatrician,2.290512816980481,1,0,1,Inf,1,Inf,1
274_Pediatrician,2.2992571955546737,1,0,3,Inf,1,Inf,1
250_GP,2.304725549183786,3,0,8,Inf,3,Inf,1
96_GP,2.3150790436193347,3,0,9,Inf,3,Inf,1
114_GP,2.3453257279470563,1,0,1,Inf,1,Inf,1
9_GP,2.347605088725686,2,0,6,Inf,2,Inf,1
16_GP,2.3539186315611005,2,0,12,Inf,2,Inf,1
274_GP,2.3553748056292534,3,0,7,Inf,3,Inf,1
97_GP,2.3613191954791546,1,1,1,Inf,2,Inf,1
86_GP,2.400417337194085,1,0,3,Inf,1,Inf,1
48_GP,2.4123431788757443,1,0,1,Inf,1,Inf,1
174_Nurse,2.416419996879995,2,0,14,Inf,2,Inf,1
33_GP,2.433199295774102,7,0,11,Inf,7,Inf,1
96_GP,2.4436417780816555,4,0,9,Inf,4,Inf,1
22_GP,2.4557826574891806,6,0,11,Inf,6,Inf,1
32_GP,2.4672250309959054,4,0,7,Inf,4,Inf,1
273_GP,2.4858859833329916,3,0,5,Inf,3,Inf,1
2_GP,2.4925833474844694,4,0,8,Inf,4,Inf,1
23_Pediatrician,2.5034229503944516,1,0,2,Inf,1,Inf,1
208_GP,2.5040571112185717,3,1,3,Inf,4,Inf,1
33_Nurse,2.50745820812881,3,0,17,Inf,3,Inf,1
33_GP,2.523785918019712,8,0,11,Inf,8,Inf,1
219_Pediatrician,2.5328984716907144,1,0,1,Inf,1,Inf,1
243_GP,2.538638482801616,1,0,1,Inf,1,Inf,1
140_GP,2.5390949612483382,2,0,4,Inf,2,Inf,1
226_GP,2.5405275681987405,3,0,6,Inf,3,Inf,1
111_GP,2.5485480157658458,1,0,4,Inf,1,Inf,1
22_Nurse,2.550344201736152,1,0,14,Inf,1,Inf,1
20_GP,2.555239708162844,2,0,10,Inf,2,Inf,1
185_GP,2.580285589210689,1,0,3,Inf,1,Inf,1
174_GP,2.5830890983343124,8,0,11,Inf,8,Inf,1
30_GP,2.584330625832081,5,0,10,Inf,5,Inf,1
273_GP,2.5929593201726675,4,0,5,Inf,4,Inf,1
170_GP,2.5981491710990667,6,0,8,Inf,6,Inf,1
20_Nurse,2.6044810004532337,2,0,14,Inf,2,Inf,1
32_Nurse,2.6265563489869237,1,0,11,Inf,1,Inf,1
86_Nurse,2.638680897653103,1,0,4,Inf,1,Inf,1
22_GP,2.646329258568585,7,0,11,Inf,7,Inf,1
95_GP,2.6698975497856736,3,0,8,Inf,3,Inf,1
159_GP,2.690892918035388,4,0,12,Inf,4,Inf,1
102_Nurse,2.693738378584385,1,0,3,Inf,1,Inf,1
235_GP,2.695238459855318,2,0,8,Inf,2,Inf,1
235_GP,2.708955304697156,3,0,8,Inf,3,Inf,1
158_GP,2.7484727650880814,2,0,2,Inf,2,Inf,1
162_GP,2.762240068987012,3,0,13,Inf,3,Inf,1
160_GP,2.784649757668376,1,0,6,Inf,1,Inf,1
240_GP,2.8044946398586035,1,0,1,Inf,1,Inf,1
9_GP,2.8403479512780905,3,0,6,Inf,3,Inf,1
151_Pediatrician,2.849983675405383,2,0,2,Inf,2,Inf,1
42_GP,2.8700737142935395,3,0,6,Inf,3,Inf,1
139_GP,2.8903153259307146,3,0,9,Inf,3,Inf,1
111_GP,2.8968092892318964,2,0,4,Inf,2,Inf,1
174_GP,2.9079009918496013,9,0,11,Inf,9,Inf,1
55_GP,2.9109736159443855,2,0,2,Inf,2,Inf,1
22_GP,2.93935087043792,8,0,11,Inf,8,Inf,1
272_Nurse,2.9700469924136996,1,0,5,Inf,1,Inf,1
160_GP,2.9875798523426056,2,0,6,Inf,2,Inf,1
79_Nurse,2.9940034076571465,1,0,2,Inf,1,Inf,1
133_Nurse,3.011486786417663,1,0,8,Inf,1,Inf,1
244_GP,3.014214118011296,3,0,11,Inf,3,Inf,1
2_GP,3.034194242209196,5,0,8,Inf,5,Inf,1
126_GP,3.035151595249772,1,0,5,Inf,1,Inf,1
174_GP,3.043775400146842,10,0,11,Inf,10,Inf,1
144_GP,3.0775412125512958,2,0,7,Inf,2,Inf,1
157_GP,3.105643973685801,5,0,6,Inf,5,Inf,1
116_GP,3.1117100128903985,1,0,3,Inf,1,Inf,1
144_Nurse,3.1487497966736555,1,0,10,Inf,1,Inf,1
139_GP,3.2112140022218227,4,0,9,Inf,4,Inf,1
21_GP,3.2121256878599524,3,0,6,Inf,3,Inf,1
5_GP,3.2149244053289294,1,0,3,Inf,1,Inf,1
30_Nurse,3.222993747331202,1,0,13,Inf,1,Inf,1
111_GP,3.242579489015043,3,0,4,Inf,3,Inf,1
12_GP,3.244531941600144,1,0,6,Inf,1,Inf,1
142_GP,3.2649864396080375,3,0,9,Inf,3,Inf,1
38_Nurse,3.269392610527575,1,0,11,Inf,1,Inf,1
185_GP,3.3289860282093287,2,0,3,Inf,2,Inf,1
4_GP,3.3480933867394924,2,0,9,Inf,2,Inf,1
139_GP,3.362806113436818,5,0,9,Inf,5,Inf,1
265_Nurse,3.3666742499917746,1,0,10,Inf,1,Inf,1
162_GP,3.367732814513147,4,0,13,Inf,4,Inf,1
95_Pediatrician,3.377444911748171,1,1,1,Inf,2,Inf,1
145_Nurse,3.381143189035356,2,0,4,Inf,2,Inf,1
265_GP,3.382568950764835,4,0,8,Inf,4,Inf,1
15_GP,3.3828000258654356,2,0,2,Inf,2,Inf,1
4_GP,3.385972590185702,3,0,9,Inf,3,Inf,1
244_GP,3.3994828071445227,4,0,11,Inf,4,Inf,1
119_GP,3.4035024186596274,1,1,1,Inf,2,Inf,1
139_GP,3.4219049150124192,6,0,9,Inf,6,Inf,1
159_GP,3.4286222280934453,5,0,12,Inf,5,Inf,1
121_GP,3.4433991042897105,2,0,3,Inf,2,Inf,1
12_GP,3.4464254742488265,2,0,6,Inf,2,Inf,1
42_GP,3.450518329627812,4,0,6,Inf,4,Inf,1
217_GP,3.477244027890265,1,0,1,Inf,1,Inf,1
111_Nurse,3.479701755568385,2,0,6,Inf,2,Inf,1
66_GP,3.4923471277579665,3,0,3,Inf,3,Inf,1
51_Pediatrician,3.5173579026013613,1,0,1,Inf,1,Inf,1
11_Nurse,3.522069272585213,1,0,4,Inf,1,Inf,1
159_GP,3.526384010910988,6,0,12,Inf,6,Inf,1
250_GP,3.5341382771730423,4,0,8,Inf,4,Inf,1
174_GP,3.5406288178637624,11,0,11,Inf,11,Inf,1
4_GP,3.577768737450242,4,0,9,Inf,4,Inf,1
236_Nurse,3.578891549259424,2,0,13,Inf,2,Inf,1
94_GP,3.5883588809520006,2,0,2,Inf,2,Inf,1
134_Nurse,3.6035261303186417,1,0,9,Inf,1,Inf,1
226_GP,3.6143208481371403,4,0,6,Inf,4,Inf,1
79_GP,3.634693301282823,1,0,2,Inf,1,Inf,1
9_GP,3.6347273318096995,4,0,6,Inf,4,Inf,1
162_GP,3.6408225120976567,5,0,13,Inf,5,Inf,1
19_GP,3.6602861154824495,3,0,7,Inf,3,Inf,1
133_Pediatrician,3.661316027864814,1,0,2,Inf,1,Inf,1
272_Pediatrician,3.6741985380649567,1,0,2,Inf,1,Inf,1
146_GP,3.6777996132150292,1,0,4,Inf,1,Inf,1
159_GP,3.6854182463139296,7,0,12,Inf,7,Inf,1
171_GP,3.6858841124922037,1,0,1,Inf,1,Inf,1
38_Nurse,3.6892868718132377,2,0,11,Inf,2,Inf,1
121_Nurse,3.698569773696363,1,0,5,Inf,1,Inf,1
19_GP,3.7127169873565435,4,0,7,Inf,4,Inf,1
30_GP,3.726099687628448,6,0,10,Inf,6,Inf,1
250_GP,3.729575788602233,5,0,8,Inf,5,Inf,1
34_GP,3.733925730921328,1,0,2,Inf,1,Inf,1
154_GP,3.7377828173339367,2,0,3,Inf,2,Inf,1
159_Pediatrician,3.78290475346148,2,0,3,Inf,2,Inf,1
8_Pediatrician,3.803082020021975,1,0,2,Inf,1,Inf,1
16_GP,3.8233123859390616,3,0,12,Inf,3,Inf,1
112_GP,3.825098597444594,3,0,8,Inf,3,Inf,1
162_GP,3.8347428292036057,6,0,13,Inf,6,Inf,1
273_GP,3.834760528989136,5,0,5,Inf,5,Inf,1
133_Nurse,3.8399828458204865,2,0,8,Inf,2,Inf,1
2_GP,3.848074581474066,6,0,8,Inf,6,Inf,1
44_Pediatrician,3.8541608629748225,1,0,1,Inf,1,Inf,1
52_GP,3.8555772369727492,1,0,1,Inf,1,Inf,1
227_GP,3.869457682594657,1,0,3,Inf,1,Inf,1
19_GP,3.887669490650296,5,0,7,Inf,5,Inf,1
226_Pediatrician,3.89096409548074,1,0,2,Inf,1,Inf,1
162_GP,3.894157879985869,7,0,13,Inf,7,Inf,1
99_GP,3.897885298356414,4,0,9,Inf,4,Inf,1
265_Nurse,3.9133721217513084,2,0,10,Inf,2,Inf,1
126_Nurse,3.924708100967109,1,0,7,Inf,1,Inf,1
162_Nurse,3.9387807017192245,5,0,16,Inf,5,Inf,1
42_GP,3.960560141131282,5,0,6,Inf,5,Inf,1
170_GP,3.9702274510636926,7,0,8,Inf,7,Inf,1
232_Nurse,3.9880443876609206,1,0,2,Inf,1,Inf,1
139_GP,3.9914003061130643,7,0,9,Inf,7,Inf,1
244_Pediatrician,3.9954389864578843,3,0,4,Inf,3,Inf,1
129_GP,4.001192492432892,1,0,1,Inf,1,Inf,1
34_GP,4.004319878295064,2,0,2,Inf,2,Inf,1
170_GP,4.004872776567936,8,0,8,Inf,8,Inf,1
35_GP,4.009442352689803,4,0,8,Inf,4,Inf,1
23_GP,4.015944139100611,2,0,6,Inf,2,Inf,1
162_GP,4.03631551656872,8,0,13,Inf,8,Inf,1
184_Pediatrician,4.037356283515692,1,0,1,Inf,1,Inf,1
96_GP,4.07390555832535,5,0,9,Inf,5,Inf,1
20_GP,4.076931048184633,3,0,10,Inf,3,Inf,1
96_GP,4.0818672347813845,6,0,9,Inf,6,Inf,1
76_GP,4.088303013704717,1,0,2,Inf,1,Inf,1
116_GP,4.093736652284861,2,0,3,Inf,2,Inf,1
21_Pediatrician,4.096014350652695,1,0,2,Inf,1,Inf,1
184_GP,4.114168561063707,2,0,2,Inf,2,Inf,1
273_GP,4.120463719591498,5,1,5,Inf,6,Inf,1
133_GP,4.122944036498666,2,0,6,Inf,2,Inf,1
33_Nurse,4.14832875598222,4,0,17,Inf,4,Inf,1
126_GP,4.15531303267926,2,0,5,Inf,2,Inf,1
16_GP,4.16567855514586,4,0,12,Inf,4,Inf,1
131_GP,4.167583482339978,1,0,1,Inf,1,Inf,1
110_GP,4.170365380123258,1,1,1,Inf,2,Inf,1
10_Nurse,4.176931120455265,2,0,9,Inf,2,Inf,1
116_GP,4.177534184418619,3,0,3,Inf,3,Inf,1
12_GP,4.21432969160378,3,0,6,Inf,3,Inf,1
272_Nurse,4.22074141446501,2,0,5,Inf,2,Inf,1
86_GP,4.244560142979026,2,0,3,Inf,2,Inf,1
99_Pediatrician,4.248607917688787,1,0,2,Inf,1,Inf,1
33_GP,4.256645576097071,9,0,11,Inf,9,Inf,1
193_GP,4.262913060374558,1,0,1,Inf,1,Inf,1
185_GP,4.279164983890951,3,0,3,Inf,3,Inf,1
235_GP,4.286808357574046,4,0,8,Inf,4,Inf,1
144_GP,4.291785615496337,3,0,7,Inf,3,Inf,1
162_GP,4.29308679420501,9,0,13,Inf,9,Inf,1
265_GP,4.301175498403609,5,0,8,Inf,5,Inf,1
239_Pediatrician,4.318112432956696,1,0,1,Inf,1,Inf,1
96_GP,4.3432652950286865,7,0,9,Inf,7,Inf,1
42_Pediatrician,4.39618696924299,1,0,1,Inf,1,Inf,1
117_GP,4.415963301435113,1,0,3,Inf,1,Inf,1
162_GP,4.419170874170959,10,0,13,Inf,10,Inf,1
159_Pediatrician,4.428135375492275,3,0,3,Inf,3,Inf,1
21_GP,4.435929441824555,4,0,6,Inf,4,Inf,1
235_GP,4.4473897106945515,5,0,8,Inf,5,Inf,1
10_GP,4.470106065273285,2,0,5,Inf,2,Inf,1
155_GP,4.490917883813381,1,0,1,Inf,1,Inf,1
276_Nurse,4.515686044469476,1,0,9,Inf,1,Inf,1
277_Nurse,4.522120063193142,1,0,4,Inf,1,Inf,1
117_GP,4.524026163853705,2,0,3,Inf,2,Inf,1
99_GP,4.527660682797432,5,0,9,Inf,5,Inf,1
23_GP,4.538449728861451,3,0,6,Inf,3,Inf,1
185_GP,4.5395218860358,3,1,3,Inf,4,Inf,1
244_GP,4.546156371943653,5,0,11,Inf,5,Inf,1
33_GP,4.556515049189329,10,0,11,Inf,10,Inf,1
95_GP,4.596966980025172,4,0,8,Inf,4,Inf,1
170_Nurse,4.607128417119384,2,0,12,Inf,2,Inf,1
35_GP,4.6249402686953545,5,0,8,Inf,5,Inf,1
23_Nurse,4.635472227819264,3,0,5,Inf,3,Inf,1
276_Nurse,4.635549676604569,2,0,9,Inf,2,Inf,1
272_Nurse,4.663239475339651,3,0,5,Inf,3,Inf,1
174_GP,4.668366643600166,11,1,11,Inf,12,Inf,1
32_Nurse,4.681190382689238,2,0,11,Inf,2,Inf,1
147_Nurse,4.68377728946507,1,0,1,Inf,1,Inf,1
30_GP,4.705790542066097,7,0,10,Inf,7,Inf,1
9_GP,4.749493170529604,5,0,6,Inf,5,Inf,1
